Exposure.ID,wasp.lineage,wasp.age.days,host.species,host.plant,pupa.mass,pupa.age.days,attempted2,wasp_success,bfly_success,attempted_binary,host.fate.no8,start3
I28,P. cassotis,15.229,D. plexippus,A. incarnata,1.1,0.045138889,2,1,0,Attempt,Wasps emerged,0014-07
I29,P. cassotis,15.229,D. plexippus,A. incarnata,1.29,0.03125,2,1,0,Attempt,Wasps emerged,0014-07
I30,P. cassotis,15.229,D. plexippus,A. incarnata,1.33,0.013888889,2,1,0,Attempt,Wasps emerged,0014-07
I31,P. cassotis,15.229,D. plexippus,A. incarnata,1.11,-0.006944444,2,1,0,Attempt,Wasps emerged,0014-07
I32,P. cassotis,15.229,D. plexippus,A. incarnata,1.01,-0.041666667,2,1,0,Attempt,Wasps emerged,0014-07
PC16.2.8.1,P. cassotis,15.288,D. plexippus,A. curassavica,1.237,0.163194444,2,1,0,Attempt,Wasps emerged,0016-02
PC16.2.6.2,P. cassotis,16.073,D. plexippus,A. curassavica,1.445,0.03125,2,1,0,Attempt,Wasps emerged,0016-02
PC15.7.15.2,P. cassotis,16.108,D. plexippus,A. curassavica,1.382,0.045138889,2,1,0,Attempt,Wasps emerged,0015-07
PCTOX15.7.15.1,P. cassotis,16.125,D. plexippus,A. curassavica,1.059,1,2,1,0,Attempt,Wasps emerged,0015-07
I33,P. cassotis,16.132,D. plexippus,A. incarnata,1.31,0.027777778,2,1,0,Attempt,Wasps emerged,0014-08
I34,P. cassotis,16.132,D. plexippus,A. incarnata,1.33,0.027777778,0,0,1,No attempt,Butterfly,0014-08
I35,P. cassotis,16.132,D. plexippus,A. incarnata,1.43,0.027777778,0,0,1,No attempt,Butterfly,0014-08
I36,P. cassotis,16.132,D. plexippus,A. incarnata,1.32,0.027777778,2,1,0,Attempt,Wasps emerged,0014-08
I37,P. cassotis,16.132,D. plexippus,A. incarnata,1.23,0.006944444,2,1,0,Attempt,Wasps emerged,0014-08
PCO16.4.17.1,P. cassotis,16.142,D. plexippus,A. incarnata,1.227,0.642361111,0,0,1,No attempt,Butterfly,0016-04
PCO16.2.6.11,P. cassotis,16.156,D. plexippus,A. incarnata,1.251,0.09375,1d,0,0,Attempt,Butterfly,0016-02
PCO16.2.10.4,P. cassotis,16.188,D. plexippus,A. incarnata,0.934,0.166666667,2,1,0,Attempt,Wasps emerged,0016-02
PC16.4.8.1,P. cassotis,16.271,D. plexippus,A. incarnata,0.944,0.104166667,2,1,0,Attempt,Wasps emerged,0016-04
5c3a,P. puparum,17.014,D. plexippus,A. curassavica,NA,0.638888889,1d,0,0,Attempt,"Dead butterfly, no wasps",0013-09
5c3b,P. puparum,17.014,D. plexippus,A. curassavica,0.68,0.638888889,1d,0,0,Attempt,"Dead butterfly, no wasps",0013-09
5c3c,P. puparum,17.014,D. plexippus,A. curassavica,1,0.638888889,1b,0,1,Attempt,Butterfly,0013-09
