county,geoid,pollutant,noncancer_air_risk,cancer_air_risk,combined_air_score
ANOKA,270030508211,All pollutant sum,0.59,1.4e-5,1.4
ANOKA,270030508212,All pollutant sum,0.56,1.27e-5,1.27
ANOKA,270030508213,All pollutant sum,0.78,1.77e-5,1.7699999999999998
ANOKA,270030509011,All pollutant sum,0.75,1.57e-5,1.5699999999999998
ANOKA,270030509012,All pollutant sum,0.65,1.52e-5,1.5199999999999998
ANOKA,270030509021,All pollutant sum,0.57,1.46e-5,1.46
ANOKA,270030509022,All pollutant sum,0.6,1.51e-5,1.5099999999999998
ANOKA,270030509023,All pollutant sum,0.55,1.3e-5,1.2999999999999998
ANOKA,270030509024,All pollutant sum,0.59,1.47e-5,1.47
ANOKA,270030510011,All pollutant sum,1.26,2.38e-5,2.38
ANOKA,270030510012,All pollutant sum,1.3,2.53e-5,2.53
ANOKA,270030510021,All pollutant sum,1.29,2.41e-5,2.4099999999999997
ANOKA,270030510022,All pollutant sum,1.43,2.36e-5,2.36
ANOKA,270030510023,All pollutant sum,1.12,2.1e-5,2.0999999999999996
ANOKA,270030511011,All pollutant sum,1.81,2.41e-5,2.4099999999999997
ANOKA,270030511012,All pollutant sum,1.59,2.37e-5,2.3699999999999997
ANOKA,270030511013,All pollutant sum,1.45,2.19e-5,2.19
ANOKA,270030511014,All pollutant sum,1.45,2.22e-5,2.2199999999999998
ANOKA,270030511015,All pollutant sum,1.11,1.97e-5,1.97
ANOKA,270030511021,All pollutant sum,1.7,2.62e-5,2.6199999999999997
ANOKA,270030511022,All pollutant sum,1.76,2.58e-5,2.5799999999999996
ANOKA,270030511023,All pollutant sum,1.53,2.39e-5,2.39
ANOKA,270030511031,All pollutant sum,2.49,3.8e-5,3.8
ANOKA,270030511032,All pollutant sum,1.46,2.54e-5,2.54
ANOKA,270030511033,All pollutant sum,2.48,3.73e-5,3.7299999999999995
ANOKA,270030512011,All pollutant sum,1.33,2.58e-5,2.5799999999999996
ANOKA,270030512012,All pollutant sum,1.3,2.76e-5,2.76
ANOKA,270030512013,All pollutant sum,1.14,2.32e-5,2.32
ANOKA,270030512021,All pollutant sum,1.31,2.35e-5,2.3499999999999996
ANOKA,270030512022,All pollutant sum,1.3,2.79e-5,2.79
ANOKA,270030512023,All pollutant sum,1.31,2.48e-5,2.48
ANOKA,270030512031,All pollutant sum,1.19,2.26e-5,2.26
ANOKA,270030512032,All pollutant sum,1.15,2.58e-5,2.5799999999999996
ANOKA,270030512033,All pollutant sum,1.07,2.24e-5,2.2399999999999998
ANOKA,270030512061,All pollutant sum,1.49,3.43e-5,3.4299999999999997
ANOKA,270030512062,All pollutant sum,1.2,2.42e-5,2.4199999999999995
ANOKA,270030513021,All pollutant sum,0.93,1.94e-5,1.94
ANOKA,270030513022,All pollutant sum,0.97,2.02e-5,2.02
ANOKA,270030513023,All pollutant sum,1,2.15e-5,2.15
ANOKA,270030513041,All pollutant sum,1.24,2.66e-5,2.6599999999999997
ANOKA,270030513042,All pollutant sum,1.22,2.63e-5,2.63
ANOKA,270030513051,All pollutant sum,1.22,2.54e-5,2.54
ANOKA,270030513052,All pollutant sum,1.19,2.57e-5,2.57
ANOKA,270030513053,All pollutant sum,1.08,2.24e-5,2.2399999999999998
ANOKA,270030514001,All pollutant sum,1.46,3.41e-5,3.41
ANOKA,270030514002,All pollutant sum,1.42,3.18e-5,3.1799999999999997
ANOKA,270030514003,All pollutant sum,1.21,2.57e-5,2.57
ANOKA,270030514004,All pollutant sum,1.26,2.77e-5,2.7699999999999996
ANOKA,270030515011,All pollutant sum,1.06,2.29e-5,2.29
ANOKA,270030515012,All pollutant sum,1.41,3.28e-5,3.2799999999999994
ANOKA,270030515021,All pollutant sum,1.01,2.02e-5,2.02
ANOKA,270030515022,All pollutant sum,1.15,2.51e-5,2.51
ANOKA,270030515023,All pollutant sum,1.03,2.22e-5,2.2199999999999998
ANOKA,270030516001,All pollutant sum,0.24,5.21e-6,0.521
ANOKA,270030516002,All pollutant sum,0.21,4.73e-6,0.4729999999999999
ANOKA,270030516003,All pollutant sum,0.31,6.99e-6,0.699
BECKER,270054501001,All pollutant sum,0.03,5.71e-7,0.0571
BECKER,270054501002,All pollutant sum,0.04,6.06e-7,0.060599999999999994
BECKER,270054501003,All pollutant sum,0.04,7.84e-7,0.0784
BECKER,270054502001,All pollutant sum,0.04,6.86e-7,0.0686
BECKER,270054502002,All pollutant sum,0.04,7.8e-7,0.078
BECKER,270054503001,All pollutant sum,0.05,1.25e-6,0.125
BECKER,270054503002,All pollutant sum,0.06,1.17e-6,0.11699999999999999
BECKER,270054503003,All pollutant sum,0.08,1.72e-6,0.172
BECKER,270054503004,All pollutant sum,0.08,1.53e-6,0.153
BECKER,270054504001,All pollutant sum,0.07,1.46e-6,0.146
BECKER,270054504002,All pollutant sum,0.1,2.5e-6,0.25
BECKER,270054505001,All pollutant sum,0.44,8.15e-6,0.815
BECKER,270054505002,All pollutant sum,0.23,5.22e-6,0.5219999999999999
BECKER,270054505003,All pollutant sum,0.4,8.73e-6,0.8729999999999999
BECKER,270054506001,All pollutant sum,0.19,4.42e-6,0.44199999999999995
BECKER,270054506002,All pollutant sum,0.4,9.95e-6,0.9949999999999999
BECKER,270054506003,All pollutant sum,0.53,1.2e-5,1.2
BECKER,270054507001,All pollutant sum,0.08,1.92e-6,0.19199999999999998
BECKER,270054507002,All pollutant sum,0.09,2.08e-6,0.208
BECKER,270054508001,All pollutant sum,0.05,1.06e-6,0.106
BECKER,270054509001,All pollutant sum,0.05,7.85e-7,0.0785
BECKER,270054509002,All pollutant sum,0.05,1.42e-6,0.142
BECKER,270054509003,All pollutant sum,0.09,1.94e-6,0.19399999999999998
BECKER,270054509004,All pollutant sum,0.04,1.1e-6,0.11
BECKER,270059400001,All pollutant sum,0.03,5.6e-7,0.056
BECKER,270059400002,All pollutant sum,0.04,5.7e-7,0.057
BECKER,270059400003,All pollutant sum,0.03,6.5e-7,0.065
BECKER,270059400004,All pollutant sum,0.03,5.45e-7,0.05449999999999999
BELTRAMI,270074501001,All pollutant sum,0.09,2.13e-6,0.21299999999999997
BELTRAMI,270074501002,All pollutant sum,0.06,1.17e-6,0.11699999999999999
BELTRAMI,270074501003,All pollutant sum,0.07,1.48e-6,0.148
BELTRAMI,270074501004,All pollutant sum,0.08,1.79e-6,0.179
BELTRAMI,270074501005,All pollutant sum,0.08,1.78e-6,0.17799999999999996
BELTRAMI,270074502001,All pollutant sum,0.21,5.89e-6,0.589
BELTRAMI,270074502002,All pollutant sum,0.12,3.16e-6,0.31599999999999995
BELTRAMI,270074502003,All pollutant sum,0.1,2.47e-6,0.247
BELTRAMI,270074502004,All pollutant sum,0.12,3.19e-6,0.31899999999999995
BELTRAMI,270074503001,All pollutant sum,0.06,1.41e-6,0.141
BELTRAMI,270074503002,All pollutant sum,0.06,1.14e-6,0.114
BELTRAMI,270074503003,All pollutant sum,0.06,1.49e-6,0.149
BELTRAMI,270074503004,All pollutant sum,0.04,8.24e-7,0.08239999999999999
BELTRAMI,270074504001,All pollutant sum,0.04,7.53e-7,0.07529999999999999
BELTRAMI,270074504002,All pollutant sum,0.05,8.61e-7,0.0861
BELTRAMI,270074504003,All pollutant sum,0.05,8.73e-7,0.0873
BELTRAMI,270074505001,All pollutant sum,0.01,2.53e-7,0.0253
BELTRAMI,270074505002,All pollutant sum,0.03,5.35e-7,0.05349999999999999
BELTRAMI,270074506001,All pollutant sum,0.38,1.14e-5,1.14
BELTRAMI,270074506002,All pollutant sum,0.22,6.34e-6,0.634
BELTRAMI,270074506003,All pollutant sum,0.53,1.58e-5,1.58
BELTRAMI,270074506004,All pollutant sum,0.41,1.18e-5,1.18
BELTRAMI,270074506005,All pollutant sum,0.7,2.1e-5,2.0999999999999996
BELTRAMI,270074507011,All pollutant sum,0.15,4.16e-6,0.416
BELTRAMI,270074507012,All pollutant sum,0.25,7e-6,0.7
BELTRAMI,270074507013,All pollutant sum,0.37,1.06e-5,1.0599999999999998
BELTRAMI,270074507021,All pollutant sum,0.22,5.56e-6,0.5559999999999999
BELTRAMI,270074507022,All pollutant sum,0.22,6.33e-6,0.633
